business_id,stars,text,cleaned_text
8yR12PNSMo6FBYx1u5KPlw,2.0,"Went for lunch and found that my burger was meh.  What was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat.  My burger patty seemed steamed and appeared to be a preformed patty, contrary to what is stated on the menu.    I can get ground beef from Kroger and make a burger that blows them out of the water.",went for lunch and found that my burger was meh what was obvious was that the focus of the burgers is the amount of different and random crap they can pile on it and not the flavor of the meat my burger patty seemed steamed and appeared to be a preformed patty contrary to what is stated on the menu i can get ground beef from kroger and make a burger that blows them out of the water
pBNucviUkNsiqhJv5IFpjg,5.0,"I needed a new tires for my wife's car. They had to special order it and had it the next day, I dropped it off in the morning before work and they called a few hours later and the car was ready. It was quick and efficient, and the woman who helped me was awesome.",i needed a new tires for my wifes car they had to special order it and had it the next day i dropped it off in the morning before work and they called a few hours later and the car was ready it was quick and efficient and the woman who helped me was awesome
8sf9kv6O4GgEb0j1o22N1g,5.0,"Jim Woltman who works at Goleta Honda is 5 stars!! He is knowledgeable, helpful, and so personable.  He did a fantastic job on my Honda.  Thank you Jim!!!  And thank you Honda for having such a fabulous employee!",jim woltman who works at goleta honda is stars he is knowledgeable helpful and so personable he did a fantastic job on my honda thank you jim and thank you honda for having such a fabulous employee
XwepyB7KjJ-XGJf0vKc6Vg,4.0,Been here a few times to get some shrimp.  They've got a nice selection of different fish.  Prices are decent.  It's great to have a seafood market in the area.,been here a few times to get some shrimp theyve got a nice selection of different fish prices are decent its great to have a seafood market in the area
prm5wvpp0OHJBlrvTj9uOg,5.0,"This is one fantastic place to eat whether you are hungry or just need a good snack.  Everything I had has been very good and the price is always good.  Very friendly staff, clean, pleasant place to visit with friends.",this is one fantastic place to eat whether you are hungry or just need a good snack everything i had has been very good and the price is always good very friendly staff clean pleasant place to visit with friends
bK0j7YtVyN98UnM_8fUONg,3.0,"Dirt cheap happy hour specials.  Half priced drinks.  Not really my crowd.  Lots of college kids on a Saturday night.  On the other hand there were lots of hot girls.  YEAAAHHH buddy!

I'll get to the point.  As hard as they really try to turn this place into a club at nights it will still and always be a tavern.  The bartender was nice but they charged me full price on drinks 5-10 mins before the special ended!  I heard they do that a lot here so be warned.",dirt cheap happy hour specials half priced drinks not really my crowd lots of college kids on a saturday night on the other hand there were lots of hot girls yeaaahhh buddy ill get to the point as hard as they really try to turn this place into a club at nights it will still and always be a tavern the bartender was nice but they charged me full price on drinks mins before the special ended i heard they do that a lot here so be warned
zLIrhVc1nfPTOF33eFD4_g,1.0,"Unbelievably poor customer ""service"".  Beyond bad.  They insisted on charging me a large car price to wash my mid-size car.  I was told to go talk to Don Risdon, and when I did, his first reaction was to physically shove me and tell me to get away from him before he really lost his temper.  Can you believe that?  Never in my 50 years have I encountered anything like it.  He would not acknowledge that he was misleading customers by the prices posted at the cash register.",unbelievably poor customer service beyond bad they insisted on charging me a large car price to wash my midsize car i was told to go talk to don risdon and when i did his first reaction was to physically shove me and tell me to get away from him before he really lost his temper can you believe that never in my years have i encountered anything like it he would not acknowledge that he was misleading customers by the prices posted at the cash register
KHl171eshtTPrGyBWGEHQQ,5.0,"I walked in the door and was greeted with a welcoming smile. I was offered help in finding a good match for my home. I was told if I didn't like it, they would return my money - no problem.

A very nice experience and fair pricing.",i walked in the door and was greeted with a welcoming smile i was offered help in finding a good match for my home i was told if i didnt like it they would return my money no problem a very nice experience and fair pricing
S26FJcC298XNpN2cZiwOrA,5.0,"Nothing beats pizza and beer in my book. This place nails both, with an eye towards sustainability which always makes me feel good. They have a specially brewed beer, and a handful of other craft beers on tap to satisfy almost any taste. I prefer the deep dish, although my accomplice likes the thin crust more. That usually just means leftovers. I wish their appetizers were more adventurous, or changed at all, but I guess don't mess with success and they're a pizza place both apply. 

I just wish they delivered.",nothing beats pizza and beer in my book this place nails both with an eye towards sustainability which always makes me feel good they have a specially brewed beer and a handful of other craft beers on tap to satisfy almost any taste i prefer the deep dish although my accomplice likes the thin crust more that usually just means leftovers i wish their appetizers were more adventurous or changed at all but i guess dont mess with success and theyre a pizza place both apply i just wish they delivered
zT2OzXDWKK1abapHs2RUrQ,5.0,Philly cheese steak (loaded)  was phenomenal. Good service and views of Johns Pass. Small seating area. Bacon cheese fries were good to share with group. When I return to area i will come again.,philly cheese steak loaded was phenomenal good service and views of johns pass small seating area bacon cheese fries were good to share with group when i return to area i will come again
CKGLRosqPBxH9-V9AfkAhg,4.0,"Went here with my mom a couple weeks ago. We recently went gluten-free, so having Sweet Christine's nearby is a life saver!

I had a donut and a blondie muffin (don't judge!).

The donut wasn't worth it. It was small, awkwardly sweet, weirdly textured.. I just didn't need it in my life. I wouldn't get it again.

The muffin was essentially a chocolate chip muffin. This was the best muffin I've ever had in my life. Now granted, I haven't had muffins in two months, and I LOVE muffins, but having this gluten free option is like a sign from above that God cares about us gluten intolerant folks, too.

I won't be able to go back until July, but when I do, I'm stocking up. I don't care about the price. These muffins are the best.",went here with my mom a couple weeks ago we recently went glutenfree so having sweet christines nearby is a life saver i had a donut and a blondie muffin dont judge the donut wasnt worth it it was small awkwardly sweet weirdly textured i just didnt need it in my life i wouldnt get it again the muffin was essentially a chocolate chip muffin this was the best muffin ive ever had in my life now granted i havent had muffins in two months and i love muffins but having this gluten free option is like a sign from above that god cares about us gluten intolerant folks too i wont be able to go back until july but when i do im stocking up i dont care about the price these muffins are the best
